content,label
功能配置全面，我新手倒车有了影像跟360全景，妈妈再也不用担心我刮碰到哪里了,1
空间大，储物空间也非常多，比较便利,1
不大好的路面跳动厉害，防爆轮胎路噪明显！,-1
瞬时油耗易飙升，可能是路况的原因吧,1
一般,0
空间上是我最满意的一点，“容纳你世界”不是说说而已，从外观上来看，看着不是很大的样子，但内部空间设计上能很充分的利用起来，特别是后备箱的空间，可以塞好几个行李箱，下面还有暗格，当然，我并没有那么多行李箱来做实验，所以只能目测啦。如果需要塞大件的或者行李超多的时候，后排的座椅还可以往前折叠呢。,1
身高175，坐在驾驶室头部空间很宽裕的，而且驾驶室的座椅可以高低调节的，调到最高位置头顶空间也很大的。后排座椅可以前后移动，移到最前，后排空间也不错，再加上可以前后移动，后排的空间就可以自由变换了！储物,1
基本无顿挫，加速比较线性，涡轮介入较早，提速还是可以的跑,1
外观，哈哈，胖胖的，挺好看的，特别是天使眼。,1
没得挑，绝对拉风，宝马的风格。,1
可以。满爽的,1
各有各的看法。自己喜欢的就是最有性价比的！,1
操控、变速箱8AT的平顺性、经典N55鸡头，成熟，性感,1
转向精准，路感直接，悬挂也正好。在运动模式下，动力配合到位，真的能指哪打哪，可以做到人车合一。,1
系统是宝马的小主机，很多功能没有，6.5的屏边框好大，后期要改。,-1
空间ok吧，毕竟是轿跑，不要想太大空间了,1
1.5吨的车油耗综合在8.5左右，高速6.5，市区9左右，比较满意,1
空间比较适中，可以一家人一起开车去自驾游,0
外型,0
内饰不管是用料，还是做工都是极其优良。,1
没有倒车影像,-1
最不满意，车子对于我来说犹如小时候新买的玩具，因为新，还处于新鲜期，所以我并没有什么不满意的。,1
动力操控一流,1
中控一如既往，就选装的座椅很骚气,1
外观我喜欢，宝马经典的双肾进气口，两个大灯怒视前方。这种感觉我喜欢～,1
二十几万的宝马，良好的行驶质感，性价比高。,1
噪音偏大，尤其是冷车时，从外面听跟拖拉机差不多,-1
这个没什么期望，前排绝对可以，后排，尾箱就不用说了。,1
就这点钱，你还想整啥？,0
空间不错，但是175以上的坐后排碰头，后备箱还挺大,1
前脸设计有点丑，A柱太遮挡视线，其余都还行。,-1
如果不是追求宝马，那么选择其他的车吧，如果手里富裕选择新X1吧，但是无论如何华晨宝马恐怕都不是最好的选择。,0
9.7L/100KM，驾驶习惯不太好，喜欢大脚油，这个油耗很好了。比一般6速自动挡省油多了,1
我选的是白色的车，内饰是黑色的。,0
在低速加速的时候很有感，油门的响应速度很快，比1.8L自然吸气的要快很多。但是到了150动力就明显不行了，但是自己一般都是市区行驶，速度在120以内，对于1.5T很满意了。,1
外观开篷那就,0
动力没得说虽然是三缸一点不肉,1
堵车低档位的时候顿挫感是很明显的，3档以后就如行云流水了！,1
发动机启停技术，并线辅助等等。,0
路遥知马力，就是不知道过了磨合期甚至是过几年后，或者说公里数跑多了会怎么样。,0
这个价格价级别我认为就这台车了，性价比非常高，再怎么说也是台宝马，还是轿跑，还是双门的,1
家族式的双肾加上天使眼，饱满的屁股，车身线条，一切都是那么的宝马，唯一遗憾的是，中配居然还是织物座椅，还不给加装真皮座椅和电动调节，挺遗憾的，只能后期在自己包个真皮座椅了，多希望能有个电动调节，另外没有电动折叠后视镜也是个遗憾,-1
操控很好，底盘技术过关，轮胎抓低力很好,1
宝马的内饰都那个样，不过内饰比以前的进步多了 好看不少,1
操控性不用说了，我买这个车最主要的就是感受它的操控性，方向非常精准，路感很好，而且开高速的时候感觉贴地飞行。,1
宝马3缸发动机作为被键盘党长期吐槽的对象一直让我有些担心，没想到的是提速犀利，油耗低，抖动更是无从谈起。买车之前看之家参考购车经验是好习惯，但也要注意甄别，不要被键盘党误导。,1
操控、变速箱8AT的平顺性、经典N55鸡头，成熟，性感,1
没有前雷达，在停车场小巷子里面挪车比较费力。,-1
噪音控制良好，静音效果不错。,1
视觉上内饰真的很好，风格大气有范，手感也比较好，没有异味,1
车子的外形很漂亮，动力在普通路上行驶也足够用，方向盘也很好掌握,1
后排是硬伤，如果大点我就满意了。,-1
空间我倒是完全的放心的一点的，这个车子的空间特别的大，算是一款旅行车里面空间很好的车子了，它的乘坐的空间就是很有规划，车子对于空间的一个利用率还是很到位的，车车子内部的一个空间是挺大的，包括就是车子的储物空间，绝对的够用，车子的后备箱也是，用的时候挺方便的。空间也是很充足的。,1
外观各人青菜萝卜，我感觉很好。要是前脸再大一点高一点，绝对是大卖了。不过听讲这样的原因是风阻系数小了,1
油耗很低，八个油感觉还是不错的。,1
在肇庆上下班，动力毫无压力可言。,1
乘坐,0
内饰没有突出的创新，再添加一点现代潮流的元素就更好了,-1
内饰方面没有什么特别的亮点值得说的，宝马风格,1
一直觉得运动设计套装版是宝马的精髓，这个外观才是纯正的宝马风味。其他东西该有都有了，启停有点多余。,0
实测01能进7s，但永远感觉差那么一点点，也许这就是乐趣所在。,1
缺点就是内饰我不是那么喜欢，有点普通了，还有就是舒适度稍微差些。,-1
方向盘略有虚位，不过影响不大，握感还可以，轻重也适中。,0
外形和动力,0
动力充沛 ，车虽小但很装载能力超强，无论高速还是市区道路超车灵活便捷，宝马2系旅行车 2016款220i 豪华设计套装功能很丰富，大多数功能没用过，互联驾驶、无匙进入、无匙启动、后排空调、座椅加热，手机映射导航功能最常用，其,1
我是最满意的就是车子的外形了，宝马的这个车子的外形就是车子的一个标志性的一个象征，只有宝马的车子的外形才可以做到线条如此的流畅，车身就是特别的大气。,1
舒服！特别避震性好！儿子说有头等仓的感觉！,1
舍得给油、有点小激情。,1
空间很不错，日常家用完全没有问题。,1
双门轿跑没必要跟空间较真，对比起其他双门车的话，220i绝对是很宽敞的。至于后备箱，和普通轿车没有区别，放各种运动用品完全没有问题,1
非常大，舒适！,1
带T的发动机动力还是不错的，起步加速有力,1
动力强劲，舒适模式就已经很够用了，启用运动模式更是跟打了鸡血一样，时常会想象218的5秒多的百公里加速会是个什么感觉啊？,1
